matchup,game,starter,winner,agent1,agent2,nodes_agent1,nodes_agent2,time_agent1,time_agent2,cutoffs_agent1,cutoffs_agent2,moves,avg_time_early_agent1,avg_time_mid_agent1,avg_time_late_agent1,avg_time_overall_agent1,avg_time_early_agent2,avg_time_mid_agent2,avg_time_late_agent2,avg_time_overall_agent2,win_rate_agent1,win_rate_agent2
AB_d2_vs_AB_d3,1,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,72814,1122156,64.03693828904943,1008.2078052889265,2418,22813,65,0.6705073332757986,2.5157483599085193,2.6352841512747216,1.9405132814863464,6.4784201958013,27.766909124813868,57.998872996178264,31.506493915278952,0.625,0.375
AB_d2_vs_AB_d3,2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,24632,275880,20.06285412404395,237.73432254503132,1565,7076,48,0.7559356615001889,0.88193235937797,0.8699887446273351,0.835952255168498,5.843076172124711,15.311736276251395,8.561977869752809,9.905596772709638,0.625,0.375
AB_d2_vs_AB_d3,3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,16953,206078,13.879804707990843,174.33897050097585,959,5645,34,0.5327155346652338,0.8970583000045735,1.0330366666627622,0.8164591004700495,3.363582791798399,10.96878606933266,15.284723354331314,10.255233558880931,0.625,0.375
AB_d2_vs_AB_d3,4,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,23394,229398,20.007902667028247,197.87038595799822,956,5226,32,0.346671233404777,1.3320987291711692,2.056390824995469,1.2504939166892655,3.9223279500030914,21.753292333197898,11.582047423665548,12.366899122374889,0.625,0.375
AB_d2_vs_AB_d3,5,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,2257,67329,1.8371952079760376,57.83033533398702,180,2772,10,0.0435273749899352,0.3253150834934786,0.5715188329995726,0.3674390415952075,1.0304527705011424,3.9773079589940608,25.89606091699534,11.566067066797405,0.625,0.375
AB_d2_vs_AB_d3,6,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,2281,66041,1.8439465400006156,56.74465795898868,180,2652,10,0.044053582998458296,0.33282114550092956,0.5671253330001491,0.3687893080001231,1.014404312496481,3.5374148749979213,25.5892172294989,11.348931591797736,0.625,0.375
AB_d2_vs_AB_d3,7,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,2084,67975,1.6731113749847282,58.138789125019684,180,2765,10,0.0435770420008339,0.3172121874958975,0.4975549789960496,0.33462227499694563,0.9228841875010403,4.233694916008972,26.029662917004316,11.627757825003936,0.625,0.375
AB_d2_vs_AB_d3,8,AlphaBetaAgent_Depth3,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth3,2253,66999,1.819544206999126,57.3095071669959,180,2719,10,0.043704499999876134,0.3178154790002736,0.5701043744993513,0.36390884139982516,0.9743751249989145,4.282442333991639,25.539157291503216,11.46190143339918,0.625,0.375
